123002||Deposit||50||EGP||2025-10-22 17:45:23
123002||Deposit||10||USD||2025-10-22 17:45:37
123002||Withdraw||100||EGP||2025-10-22 17:45:43
123002||Withdraw||50||EGP||2025-10-22 17:45:58
123002||Deposit||50||EGP||2025-10-22 17:45:58
123002||Transfer||50||EGP||2025-10-22 17:45:58
123001||Deposit||10000||EGP||2025-10-22 18:32:42
123009||Deposit||10000||EGP||2025-10-23 15:11:29
123009||Withdraw||100000||EGP||2025-10-23 15:11:41
123002||Withdraw||10000||EGP||2025-10-23 15:11:59
123002||Deposit||10000||EGP||2025-10-23 15:11:59
123002||Transfer||10000||EGP||2025-10-23 15:11:59
123015||Deposit||10000||EGP||2025-10-23 15:37:01
123015||Withdraw||100||EGP||2025-10-23 15:37:15
123017||Deposit||100||USD||2025-10-23 15:40:15
123017||Withdraw||1000||EGP||2025-10-23 15:40:24
123017||Withdraw||100||USD||2025-10-23 15:40:38
123017||Deposit||100||USD||2025-10-23 15:40:38
123017||Transfer||100||USD||2025-10-23 15:40:38
123021||Deposit||10000||USD||2025-10-23 15:49:21
123021||Withdraw||100000||EGP||2025-10-23 15:49:39
123021||Withdraw||100000||EGP||2025-10-23 15:49:54
123021||Deposit||100000||EGP||2025-10-23 15:49:54
123021||Transfer||100000||EGP||2025-10-23 15:49:54
123018||Deposit||1000||USD||2025-10-23 15:58:41
123018||Withdraw||10000||EGP||2025-10-23 15:58:52
123018||Withdraw||100000||EGP||2025-10-23 15:59:07
123018||Deposit||100000||EGP||2025-10-23 15:59:07
123018||Transfer||100000||EGP||2025-10-23 15:59:07
